company_name,country,Line_of_business,company_size,date,revenue_type,revenue_stream,currency,fiscal_year,fiscal_quarter,region,payment_method,transaction_amount,transaction_date,transaction_status,Loan_ID,loan_status,Principal_amount,terms,effective_date,due_date,paid_off_time,past_due_days,Loan_flag,product_name,product_category,product_price,quality_category,Import percentage,export percentage
"Avila, King and Ingram",Tonga,Retail,Small,1988-10-28,Service Revenue,Online,USD,2020,4,North America,Cash,2342.75,2006-05-08,Completed,29aad3f5-fd89-44ec-b4b5-aa7a63a3525d,Approved,87309.6,22,2023-05-22,1993-10-20,2010-11-28,8,Yes,Iron,Household Items,960.7,High,61.46,8.18
Taylor Group,Saint Barthelemy,Healthcare,Medium,2006-06-06,Product Sales,Offline,USD,2019,1,North America,Credit Card,7402.82,1975-08-27,Completed,966a770a-9f44-4924-bd3b-a8ecc66b2123,Approved,53869.57,20,2010-11-26,2000-01-31,2018-09-18,15,No,Toaster,Household Items,991.8,High,43.11,56.64
Walker-Olson,Gambia,Finance,Small,1978-07-05,Service Revenue,Offline,USD,2019,4,Europe,PayPal,5275.16,2007-08-31,Pending,7e6f92c3-87bb-4b44-9f08-370bca8c6e80,Pending,31629.13,11,2017-10-10,2020-04-21,2019-09-01,21,Yes,Comic,Books,465.59,High,98.53,4.73
Perry-Hill,Gambia,Healthcare,Small,1995-03-01,Service Revenue,Online,USD,2021,2,North America,Cash,9277.38,2010-07-29,Pending,ebb3fcb5-394c-4fa1-8ce2-0198161b435a,Rejected,93387.26,30,1970-05-07,2016-09-17,1999-02-04,16,Yes,Smartphone,Electronics,606.35,Low,32.36,59.13
"Avila, King and Ingram",South Georgia and the South Sandwich Islands,Healthcare,Small,1996-01-13,Subscription,Offline,USD,2022,3,Europe,PayPal,2038.29,2005-09-15,Completed,58b6180a-8db0-4ba5-a27d-dd7fff732e16,Pending,5811.85,3,1979-12-04,2008-10-17,1992-01-11,0,Yes,Tablet,Electronics,447.82,High,38.98,35.16
Perry-Hill,South Georgia and the South Sandwich Islands,Finance,Medium,1970-10-20,Product Sales,Online,USD,2020,1,Asia,Credit Card,7663.88,2005-02-15,Completed,c70925ac-35f4-4d28-b8af-26e9a4adced9,Rejected,68951.82,25,2019-03-21,1979-09-02,1975-01-17,0,No,Jacket,Clothing,100.32,Medium,90.13,14.12
Luna-Brewer,Japan,Manufacturing,Medium,2002-02-04,Service Revenue,Online,USD,2021,1,Europe,PayPal,3305.6,1971-03-10,Failed,5d313c46-142d-41ea-9d27-74beb1830601,Pending,29557.68,59,1982-04-18,1996-10-30,1970-06-29,12,Yes,Pants,Clothing,492.67,High,39.22,30.03
Jones Group,Saint Barthelemy,Technology,Medium,2020-07-02,Subscription,Online,USD,2020,4,Africa,Credit Card,4229.47,1970-08-22,Failed,95b0ce3c-5cc5-49e8-94c0-33df39ae39cb,Rejected,70538.46,58,2006-08-07,2008-09-26,1993-01-07,13,Yes,Camera,Electronics,546.92,Medium,86.03,29.56
Jones Group,Pakistan,Finance,Medium,1992-07-19,Service Revenue,Online,USD,2023,2,Europe,Bank Transfer,8970.49,2018-11-30,Pending,35439bd4-4169-4659-9b08-84b492e0b4fc,Rejected,70505.88,42,1987-03-08,2003-05-23,1999-10-29,17,No,Headphones,Electronics,506.47,Medium,94.33,34.88
Luna-Brewer,Gambia,Technology,Large,2019-04-17,Service Revenue,Offline,USD,2022,2,North America,Bank Transfer,2893.07,1980-08-18,Completed,1a93c8fd-087a-4e98-a3e5-ec3e6f0933c2,Pending,7662.97,25,1973-04-25,1996-10-16,2001-04-16,2,Yes,Magazine,Books,626.2,Low,59.14,25.92
Jones Group,Maldives,Technology,Small,1994-07-16,Product Sales,Online,USD,2019,4,Africa,Bank Transfer,1086.54,1975-07-04,Failed,2dccf977-f20d-4227-944a-0ad015c11dbe,Approved,2198.15,9,1984-08-20,2009-03-28,1992-06-25,26,Yes,Smartphone,Electronics,606.35,Low,54.21,24.29
Jones Group,Lesotho,Manufacturing,Large,1994-02-15,Product Sales,Offline,USD,2019,4,Australia,Credit Card,736.06,2009-06-05,Failed,dfc23e4f-2a12-4a1c-bfba-344cdc3acf90,Rejected,95992.87,38,2008-07-21,2020-06-26,2022-10-27,30,Yes,Bed,Furniture,931.86,High,35.01,48.61
Walker-Olson,South Georgia and the South Sandwich Islands,Finance,Medium,2011-04-05,Subscription,Online,USD,2020,4,North America,Cash,3274.97,1984-01-03,Failed,1badbe86-f14e-4c80-83e2-2dcc50df3ac7,Rejected,74762.02,58,1998-07-27,1995-02-03,1984-09-19,7,No,Toaster,Household Items,991.8,Medium,38.63,28.68
Luna-Brewer,Gambia,Manufacturing,Medium,2006-02-08,Subscription,Online,USD,2022,1,North America,Bank Transfer,6063.34,2012-04-12,Failed,bdae62b2-585c-4529-adbd-6dd14fd9674a,Pending,69798.7,52,2024-03-18,1993-04-11,1970-12-19,18,No,Smartphone,Electronics,606.35,Low,8.35,50.66
Oliver LLC,Pakistan,Healthcare,Small,2017-12-18,Product Sales,Online,USD,2023,2,Asia,PayPal,9395.68,1995-12-28,Failed,63b11157-0ed1-486c-bc74-4542461dac59,Pending,23349.86,20,1978-11-19,1982-08-20,2022-08-05,11,Yes,Smartphone,Electronics,606.35,Low,52.45,69.12
Jones Group,Tuvalu,Healthcare,Medium,1970-04-28,Service Revenue,Offline,USD,2021,1,Africa,Cash,6593.32,1982-05-26,Pending,a32f908d-4d09-4af9-b9fd-05c70dfb27d7,Rejected,37359.25,18,2012-02-22,1978-03-15,2021-08-23,6,No,Jacket,Clothing,100.32,Low,70.69,92.56
"Hanson, Estrada and Nguyen",Tonga,Technology,Medium,1979-04-16,Product Sales,Offline,USD,2023,4,Africa,PayPal,2126.98,2014-08-31,Failed,9e1bb84b-0dc0-4eb2-80af-764896836a26,Pending,77410.18,40,2000-11-20,1983-06-25,1999-11-19,4,Yes,Tablet,Electronics,447.82,Low,92.25,20.37
"Avila, King and Ingram",Pakistan,Finance,Large,2005-11-13,Subscription,Online,USD,2019,4,Africa,Bank Transfer,127.89,2003-03-14,Failed,82d3dce7-fc4e-4a38-9267-906a89ebc25f,Approved,42621.55,35,2021-12-26,2021-12-13,1995-09-24,9,Yes,Bed,Furniture,931.86,Medium,38.31,92.64
Oliver LLC,Lesotho,Healthcare,Large,1986-05-27,Service Revenue,Offline,USD,2023,2,Africa,Credit Card,6200.23,2016-07-22,Completed,54a0dbc6-c948-4eb7-817b-404fd67bdc3a,Pending,41013.81,8,1973-07-13,1973-11-10,2003-03-19,11,Yes,Cabinet,Furniture,689.9,High,91.96,58.32
Walker-Olson,Lesotho,Manufacturing,Large,2011-02-27,Product Sales,Online,USD,2018,1,Africa,Credit Card,8494.63,1980-10-03,Failed,74e5251f-5705-4a3e-a60f-4d7736aa26f0,Approved,43863.59,56,2010-07-21,2006-04-24,2013-12-29,20,Yes,Dress,Clothing,724.96,Low,5.07,48.8
Perry-Hill,Croatia,Technology,Large,2023-04-01,Subscription,Online,USD,2021,4,Asia,Bank Transfer,7234.83,1976-12-31,Failed,65265b32-0223-4f89-b10b-f0253363d556,Pending,2647.95,7,2023-06-07,1980-02-13,1982-02-16,25,Yes,Blender,Household Items,473.47,High,2.83,36.51
Oliver LLC,Gambia,Retail,Small,1997-09-06,Subscription,Offline,USD,2018,2,North America,PayPal,2713.93,2000-11-13,Failed,9ad733f2-2662-4267-8c47-945a9ab20c94,Approved,54774.53,31,2013-06-26,2012-03-10,1983-12-29,12,Yes,Tablet,Electronics,447.82,Low,0.14,84.23
Luna-Brewer,Croatia,Technology,Small,2014-05-21,Service Revenue,Offline,USD,2021,3,Africa,PayPal,1062.56,1987-05-07,Completed,7ad669c5-e9ac-4ba3-a11d-33575897f6a2,Pending,8755.51,39,1996-10-04,1992-05-21,2005-07-13,25,Yes,Tablet,Electronics,447.82,Medium,86.48,89.59
Perry-Hill,Saint Barthelemy,Manufacturing,Small,2014-06-09,Service Revenue,Offline,USD,2023,1,Europe,Bank Transfer,5728.47,2015-02-01,Completed,98407d52-92dc-46b1-9c57-20b0a02bbc53,Rejected,15485.52,6,1974-07-28,1989-10-23,1982-09-10,4,Yes,Pants,Clothing,492.67,Medium,91.39,9.23
Vasquez Group,Gambia,Technology,Medium,2019-05-15,Subscription,Online,USD,2022,1,Africa,Cash,8790.33,2011-11-12,Completed,9f1d5af5-6d24-4d53-a46c-e92b69a29f0f,Pending,24331.16,59,2013-02-13,1970-01-08,1973-06-04,4,No,Laptop,Electronics,13.46,Low,5.95,16.28
"Hanson, Estrada and Nguyen",Lesotho,Finance,Medium,2013-07-26,Service Revenue,Offline,USD,2018,4,Asia,Bank Transfer,838.83,2009-03-01,Failed,00179446-6c58-4ad0-b8fd-9b7aa05af243,Rejected,41281.26,22,1998-10-17,1981-07-03,2004-04-23,15,No,Manual,Books,158.13,Medium,97.35,59.45
Walker-Olson,South Georgia and the South Sandwich Islands,Healthcare,Medium,2000-06-19,Subscription,Online,USD,2023,3,Africa,Cash,9489.3,1993-04-03,Completed,b0c34fbd-72c8-4c4f-b7ef-14faff0d2d11,Approved,13853.78,43,2023-05-12,1977-10-19,1984-05-10,29,No,Shoes,Clothing,492.37,High,89.8,92.95
Marshall-Cameron,Lesotho,Healthcare,Small,1970-11-23,Product Sales,Online,USD,2018,1,Africa,PayPal,6994.16,2010-07-06,Pending,01370da2-409c-4020-958e-e97b4550fe5b,Rejected,56359.58,55,1976-10-17,1983-07-27,1986-04-07,26,Yes,Iron,Household Items,960.7,Medium,35.78,98.12
Taylor Group,Tonga,Manufacturing,Large,1989-01-13,Subscription,Offline,USD,2021,2,North America,Bank Transfer,1131.5,2000-12-17,Pending,2478b424-7fcd-4ebf-b6aa-4e257ed68bad,Rejected,14898.17,54,2008-07-23,1998-08-23,1982-08-11,11,Yes,Iron,Household Items,960.7,Medium,35.51,63.98
Taylor Group,Japan,Manufacturing,Small,2017-02-17,Product Sales,Online,USD,2019,1,Africa,Cash,8122.67,1983-09-28,Pending,3c19490c-8add-4030-af03-eb64dccd1029,Approved,11454.07,10,2012-10-30,2011-10-03,1995-04-19,0,Yes,Toaster,Household Items,991.8,Low,71.56,55.16
Marshall-Cameron,Tonga,Healthcare,Small,2010-08-19,Product Sales,Online,USD,2023,1,Asia,Credit Card,3646.46,2019-03-13,Completed,1d776236-647e-4510-9565-b41f9f654caf,Approved,87601.41,7,2010-12-01,1999-06-16,1987-03-31,20,Yes,Table,Furniture,673.79,High,73.62,94.24
Luna-Brewer,Croatia,Healthcare,Large,1983-06-23,Service Revenue,Online,USD,2022,4,Asia,Bank Transfer,7006.35,1987-07-20,Completed,06186929-58b8-4b43-81e1-c58d00a13e95,Rejected,50420.36,56,2009-10-28,1974-02-27,1980-07-02,20,Yes,Shoes,Clothing,492.37,Low,63.1,49.0
Oliver LLC,Tuvalu,Healthcare,Medium,1982-04-21,Service Revenue,Offline,USD,2020,1,Europe,PayPal,6989.13,2011-05-29,Completed,cb34f7d8-1db5-4654-a446-97f2cd172168,Rejected,49254.66,8,1970-07-24,1995-01-11,2021-07-16,27,Yes,Cabinet,Furniture,689.9,Medium,7.16,73.4
Taylor Group,Lesotho,Technology,Large,2004-04-25,Service Revenue,Offline,USD,2019,4,North America,Cash,320.74,2002-10-11,Completed,a75dfa24-4329-4aaf-b6d6-23ffad5578a5,Rejected,99790.46,19,1991-12-11,1987-11-16,2008-12-19,18,Yes,Headphones,Electronics,506.47,Medium,10.27,1.76
Luna-Brewer,Gambia,Finance,Medium,1976-10-03,Subscription,Offline,USD,2022,4,Africa,Bank Transfer,1317.12,2001-01-18,Completed,895d1b2e-9e60-4628-bba6-bef069be0d8a,Pending,97150.17,26,1977-12-02,2015-07-06,2004-08-12,29,Yes,Vacuum,Household Items,197.2,Low,8.72,84.81
Perry-Hill,Japan,Healthcare,Medium,2009-03-24,Product Sales,Online,USD,2023,2,North America,Bank Transfer,8036.2,1972-10-15,Failed,86331ed0-508f-4dce-bbb0-b6d10628b5f9,Approved,24797.14,21,2016-01-27,2019-11-18,2023-03-13,19,Yes,Sofa,Furniture,159.31,Low,17.78,25.75
Oliver LLC,Croatia,Manufacturing,Medium,1995-02-08,Product Sales,Offline,USD,2022,2,North America,Cash,7217.89,1991-05-30,Completed,f1b6df1b-0351-48e5-9f31-4c5cefc53b0f,Rejected,46274.2,5,2003-04-23,1981-11-28,2011-06-25,23,Yes,Iron,Household Items,960.7,Medium,66.73,1.93
Taylor Group,Croatia,Healthcare,Small,2019-06-13,Service Revenue,Offline,USD,2023,4,North America,Cash,7034.57,1983-08-30,Pending,30af5773-9048-4a63-9b3a-19eb1eed71f0,Rejected,47154.38,29,2005-05-27,1975-05-01,1987-12-28,9,Yes,Chair,Furniture,881.54,Medium,10.26,74.44
Marshall-Cameron,Japan,Finance,Medium,1997-11-01,Service Revenue,Online,USD,2019,3,Australia,Bank Transfer,4687.43,2024-04-23,Failed,ddf7b215-2280-4f35-b5aa-d7fecf1033bc,Approved,7394.62,31,2006-05-30,1978-12-11,2007-04-08,12,No,Vacuum,Household Items,197.2,Medium,83.32,6.02
Jones Group,Maldives,Retail,Medium,1988-08-23,Subscription,Online,USD,2019,4,North America,Cash,6966.71,2020-04-25,Failed,ff98a66b-b690-4423-a269-04472ce2a2a1,Approved,57380.7,41,1999-06-30,2011-06-19,2005-07-29,26,No,Microwave,Household Items,459.28,Low,15.81,32.36
Vasquez Group,Lesotho,Healthcare,Small,1987-10-08,Subscription,Offline,USD,2018,2,Africa,Cash,3771.95,1989-06-29,Pending,cf18662a-e8e6-4d67-bdcd-2ada49ee2e83,Rejected,48602.35,16,2000-04-19,2008-01-16,1978-10-15,16,Yes,Microwave,Household Items,459.28,High,27.56,29.16
"Hanson, Estrada and Nguyen",Pakistan,Healthcare,Medium,1996-11-21,Product Sales,Offline,USD,2023,2,Europe,PayPal,3588.79,1977-01-08,Completed,83c62eea-ce7b-435f-9a83-9453f94907a2,Rejected,20851.69,37,2016-06-23,2004-07-09,2021-02-03,11,Yes,Table,Furniture,673.79,Medium,74.03,1.36
Luna-Brewer,Saint Barthelemy,Healthcare,Large,1985-12-13,Product Sales,Offline,USD,2022,1,Asia,Credit Card,2752.38,1978-05-21,Completed,0ede875c-3eeb-486a-a721-2f772280be53,Rejected,47157.54,30,1978-03-20,1989-11-10,2012-10-30,1,Yes,Pants,Clothing,492.67,Medium,53.76,83.49
"Hanson, Estrada and Nguyen",Tonga,Finance,Large,1985-01-03,Service Revenue,Online,USD,2019,3,Africa,Credit Card,1766.34,1979-09-06,Completed,c3077323-2cf9-4fe3-8879-f44a3007551f,Approved,57682.71,4,1992-09-26,1982-11-02,2018-12-15,4,No,Chair,Furniture,881.54,Low,60.87,2.87
"Hanson, Estrada and Nguyen",Japan,Retail,Medium,1978-07-04,Subscription,Offline,USD,2022,3,North America,PayPal,6283.56,1982-12-22,Failed,0d53369c-e15a-4f36-ba63-37389d10ab79,Approved,95126.95,40,1991-01-12,1981-12-30,2019-07-10,0,Yes,Comic,Books,465.59,Low,94.47,90.31
Walker-Olson,Maldives,Finance,Small,2023-06-22,Subscription,Online,USD,2020,2,Australia,Credit Card,5233.88,2015-10-13,Pending,6e927b45-7e14-4eb8-8691-99de78ef5dc8,Rejected,64962.17,20,1983-01-05,1973-02-03,1971-09-04,13,Yes,Chair,Furniture,881.54,High,40.86,15.41
Marshall-Cameron,Tonga,Retail,Medium,2012-02-08,Service Revenue,Offline,USD,2018,3,Europe,Cash,8618.13,1976-12-20,Failed,17d1ec74-1480-48ba-bf1a-36b2159b7e2d,Rejected,24879.95,47,1978-05-15,1990-04-16,1991-07-10,21,Yes,Tablet,Electronics,447.82,Low,82.62,41.92
Walker-Olson,South Georgia and the South Sandwich Islands,Retail,Large,1992-10-31,Product Sales,Offline,USD,2019,2,Europe,PayPal,3821.03,2015-05-04,Failed,ce1b3445-d79a-47ca-8b20-35781fe69f36,Approved,22697.52,15,1979-02-19,1998-12-12,1973-07-26,24,Yes,Jacket,Clothing,100.32,Low,60.58,81.46
Vasquez Group,Croatia,Manufacturing,Large,2017-05-09,Subscription,Online,USD,2019,3,Europe,Credit Card,7395.09,1993-11-05,Completed,8c8527fc-d853-44e3-a408-429170f6b2c7,Approved,74892.84,2,1988-09-24,1987-10-07,1985-05-17,11,Yes,Shirt,Clothing,359.27,Medium,41.68,71.0
Taylor Group,Croatia,Retail,Large,2009-12-17,Subscription,Offline,USD,2023,2,North America,Bank Transfer,8823.14,2009-05-11,Failed,d7d76c1e-ea0f-40d0-ac69-33408f4da146,Rejected,7225.11,60,1989-07-30,2014-08-22,2002-06-19,14,Yes,Magazine,Books,626.2,Medium,42.85,1.69
"Hanson, Estrada and Nguyen",South Georgia and the South Sandwich Islands,Manufacturing,Large,2014-06-14,Subscription,Offline,USD,2020,4,Africa,Cash,7441.39,2003-01-01,Failed,19ed8ea5-9a70-490b-a234-acc84b3d3922,Pending,31077.57,35,2024-04-26,2019-09-08,2024-08-05,22,Yes,Shirt,Clothing,359.27,Medium,33.26,56.62
Vasquez Group,Tuvalu,Retail,Medium,1995-09-14,Product Sales,Offline,USD,2018,4,North America,Cash,1267.29,2011-09-20,Failed,78ed2c39-c1de-4e84-8864-04906366e515,Approved,33854.28,8,1999-11-10,2004-12-10,1979-02-28,1,No,Iron,Household Items,960.7,Low,49.13,38.03
Oliver LLC,Gambia,Manufacturing,Small,1972-07-31,Subscription,Online,USD,2018,3,North America,Bank Transfer,4938.89,2003-06-05,Failed,94bb46bf-22fe-4346-8147-08c5a6ae5f4b,Approved,85403.78,58,1990-03-18,1977-12-07,2023-12-12,7,No,Comic,Books,465.59,Medium,44.3,1.42
"Avila, King and Ingram",Saint Barthelemy,Manufacturing,Medium,1998-05-07,Service Revenue,Offline,USD,2020,4,Europe,Credit Card,4015.63,1973-08-26,Pending,890b4833-452c-479c-a938-b7319388ef29,Rejected,67917.67,56,1991-01-10,1975-11-24,1995-10-31,14,Yes,Headphones,Electronics,506.47,Medium,6.98,97.4
Luna-Brewer,South Georgia and the South Sandwich Islands,Finance,Small,1983-03-21,Service Revenue,Offline,USD,2021,4,Africa,PayPal,1670.13,2019-01-03,Pending,a5735f52-542c-4491-9ab6-5ca1b4f8a733,Pending,81872.94,34,2024-09-22,1988-03-08,1971-08-05,16,No,Table,Furniture,673.79,Medium,94.33,51.11
Marshall-Cameron,Croatia,Technology,Large,2005-06-21,Service Revenue,Online,USD,2020,4,Australia,Credit Card,1492.11,2014-03-11,Failed,090ac0d1-8db3-466f-afc2-ac99ce409f5b,Approved,36337.81,42,1983-08-12,1984-12-08,2007-04-05,11,Yes,Blender,Household Items,473.47,Medium,4.19,3.45
"Hanson, Estrada and Nguyen",Lesotho,Finance,Small,1971-09-19,Subscription,Offline,USD,2023,1,Europe,Bank Transfer,1476.59,1989-07-23,Completed,714a64d1-f406-4983-b82b-c855e32b6c7c,Rejected,29386.56,12,1993-03-01,1978-02-02,1974-03-26,6,Yes,Laptop,Electronics,13.46,Low,83.19,67.91
Walker-Olson,Gambia,Retail,Small,2024-08-07,Product Sales,Offline,USD,2021,3,Australia,Bank Transfer,7104.01,2006-02-02,Completed,04eebe8c-cce5-4497-99ec-0e18f33719f0,Approved,80436.91,60,1976-11-12,1993-04-14,1984-07-17,7,Yes,Cabinet,Furniture,689.9,High,61.85,59.36
"Hanson, Estrada and Nguyen",Gambia,Manufacturing,Medium,1983-07-27,Service Revenue,Online,USD,2020,1,Australia,PayPal,5021.74,1974-09-13,Failed,585699c2-569e-484f-bfed-0b70e126c8cc,Pending,54128.84,8,1972-06-21,1989-07-06,2018-08-28,2,Yes,Cabinet,Furniture,689.9,Low,79.29,34.62
Walker-Olson,Lesotho,Technology,Small,2009-08-04,Service Revenue,Offline,USD,2023,3,North America,Cash,5667.62,1983-04-21,Failed,8e4beb45-352a-4926-b38f-6d1c67da010e,Pending,10725.56,45,2012-08-30,1997-05-02,2007-12-31,4,Yes,Pants,Clothing,492.67,High,92.5,91.51
Jones Group,Lesotho,Retail,Small,1982-04-07,Subscription,Online,USD,2018,4,Asia,Credit Card,9204.14,2008-11-06,Completed,3f5bb811-16a1-440d-b896-3850a7f207eb,Approved,82474.94,52,1991-08-07,1970-02-07,1974-12-04,1,No,Bed,Furniture,931.86,Low,89.03,43.33
Marshall-Cameron,Tuvalu,Finance,Medium,2004-01-13,Subscription,Offline,USD,2022,3,Asia,PayPal,5389.85,1986-03-18,Failed,54b34fe9-f4e4-45f5-b6bd-ecf2de33000a,Approved,25553.72,40,1995-10-19,1982-10-07,1984-02-26,0,No,Jacket,Clothing,100.32,High,66.2,38.9
Luna-Brewer,Maldives,Finance,Medium,1972-04-29,Service Revenue,Online,USD,2020,1,Europe,Credit Card,3708.79,2014-01-17,Failed,b9e1dcf3-8d61-46d5-baea-349392e5535c,Rejected,22994.72,55,1990-08-09,1997-06-19,1976-06-06,13,No,Table,Furniture,673.79,Medium,99.34,58.98
Walker-Olson,South Georgia and the South Sandwich Islands,Retail,Small,1990-06-03,Subscription,Online,USD,2022,3,Africa,Bank Transfer,1496.71,1990-07-16,Completed,9e912540-6f59-4d5c-b988-0ec2e25e8667,Pending,26286.65,52,2010-03-10,2003-03-09,1997-03-13,0,Yes,Smartphone,Electronics,606.35,High,42.74,84.92
Luna-Brewer,Tonga,Healthcare,Small,1973-01-23,Service Revenue,Online,USD,2019,3,Europe,Bank Transfer,3444.16,1983-06-29,Pending,019e2aba-a05e-422f-948e-2b9ee317b48a,Pending,22867.4,14,2005-07-10,1970-11-12,1990-02-04,24,Yes,Blender,Household Items,473.47,Medium,59.08,25.54
Walker-Olson,Saint Barthelemy,Retail,Small,1991-05-19,Service Revenue,Offline,USD,2023,2,Europe,Bank Transfer,6006.89,1997-01-07,Completed,be057dd4-c884-426e-bf48-d0b9d4b1b932,Rejected,81986.95,8,2021-08-21,2015-07-02,2007-12-22,2,No,Iron,Household Items,960.7,High,55.43,88.86
Jones Group,Saint Barthelemy,Technology,Medium,1976-09-07,Service Revenue,Online,USD,2019,3,Australia,Bank Transfer,9106.51,1984-08-29,Pending,4138f951-f69d-4343-b76d-31cfe7bbcf93,Pending,14100.98,19,1997-06-22,1990-09-16,2017-01-04,0,Yes,Microwave,Household Items,459.28,Medium,96.66,63.83
"Hanson, Estrada and Nguyen",Maldives,Technology,Small,1982-03-11,Service Revenue,Offline,USD,2021,3,Australia,Cash,5539.83,1971-01-14,Failed,45701428-e9da-4025-8b8f-37cd0a5e3d66,Rejected,88234.08,46,2012-03-20,1971-02-07,1972-03-25,0,No,Chair,Furniture,881.54,High,53.34,81.73
Luna-Brewer,Tonga,Manufacturing,Large,1992-12-22,Subscription,Online,USD,2021,2,Africa,PayPal,2073.68,1985-09-03,Pending,e94c5854-8207-46aa-aaa8-592df3bc0ba1,Rejected,9010.53,12,2006-04-04,1977-02-03,2024-10-21,5,No,Headphones,Electronics,506.47,High,69.76,92.89
Vasquez Group,Pakistan,Healthcare,Small,2000-08-19,Subscription,Offline,USD,2018,2,Asia,Credit Card,3013.27,2009-08-07,Failed,2cbc532b-daaa-484c-aef3-2cd1ed424b4f,Approved,68956.69,27,2002-04-11,1994-12-19,2008-02-05,0,No,Vacuum,Household Items,197.2,Low,51.08,79.48
Walker-Olson,Maldives,Technology,Medium,1973-02-12,Service Revenue,Offline,USD,2021,1,Africa,Cash,9964.35,2014-11-18,Failed,452e0c1b-9621-4c9d-96e8-6afcbd805660,Approved,54706.97,52,1986-03-16,2024-06-23,1995-08-24,26,No,Shoes,Clothing,492.37,Low,8.48,44.79
Jones Group,Croatia,Technology,Large,2017-07-12,Service Revenue,Online,USD,2018,3,Asia,Bank Transfer,6523.83,1979-10-02,Completed,cc55c75f-1b97-4206-a676-8fdf4b9cbac1,Pending,1834.22,60,1976-08-28,1996-01-22,1987-01-31,25,Yes,Blender,Household Items,473.47,Low,40.79,34.55
Luna-Brewer,Maldives,Manufacturing,Small,2021-11-09,Product Sales,Offline,USD,2020,3,North America,Bank Transfer,9536.92,1974-05-31,Failed,808cf900-a749-4ad6-b942-fecde53e45d0,Rejected,10894.53,45,2000-03-23,1976-09-18,2012-12-30,9,No,Pants,Clothing,492.67,High,95.48,58.14
Walker-Olson,South Georgia and the South Sandwich Islands,Technology,Medium,2008-06-10,Product Sales,Online,USD,2020,1,Asia,Cash,623.57,1987-08-06,Pending,cc390bee-5cbc-4053-b473-3c88871ed6d8,Rejected,50757.44,9,2001-10-19,1973-09-16,1993-06-18,28,No,Novel,Books,85.64,Medium,55.13,52.14
Walker-Olson,South Georgia and the South Sandwich Islands,Manufacturing,Medium,1977-09-16,Service Revenue,Online,USD,2021,2,Europe,Bank Transfer,9588.47,2004-01-17,Pending,0aceceb3-99ca-4a6c-8d7d-d89f47e62fe4,Rejected,94124.07,8,1993-02-16,1996-08-25,1983-02-12,15,Yes,Pants,Clothing,492.67,Low,3.49,1.56
Walker-Olson,Tuvalu,Finance,Small,2024-07-25,Product Sales,Offline,USD,2023,1,Africa,PayPal,3567.51,1970-09-24,Pending,102ba59c-cd79-48ff-88ab-b72d19d7c0d8,Rejected,40091.05,24,2018-09-13,1993-03-27,1997-03-11,22,Yes,Smartphone,Electronics,606.35,Low,12.8,6.29
Marshall-Cameron,Croatia,Manufacturing,Large,2018-10-03,Service Revenue,Offline,USD,2019,2,North America,Bank Transfer,9354.68,2013-04-21,Failed,c6e1fe17-1ab9-4f03-b968-a625ad8611b9,Rejected,93417.43,51,1984-08-14,2019-11-26,2020-07-05,19,Yes,Chair,Furniture,881.54,High,58.62,4.29
"Hanson, Estrada and Nguyen",Tonga,Retail,Small,2008-02-08,Product Sales,Online,USD,2023,4,Africa,PayPal,7982.82,1977-12-31,Failed,cce4e158-1942-4749-a8e8-a5148fd193b9,Pending,64415.47,37,1989-11-14,2024-04-07,1971-12-14,30,No,Shirt,Clothing,359.27,High,31.32,78.63
Jones Group,Maldives,Healthcare,Medium,2020-10-20,Service Revenue,Offline,USD,2018,1,Australia,Cash,3634.74,1970-01-17,Failed,fc411d7b-306c-4485-8205-beb79929eee7,Approved,52594.69,55,1987-09-19,2000-09-18,2005-03-30,11,No,Textbook,Books,222.95,Low,24.74,80.8
Jones Group,Croatia,Manufacturing,Medium,2006-05-28,Service Revenue,Offline,USD,2023,3,Asia,Bank Transfer,1088.46,2017-01-21,Failed,c7db2403-7244-4257-8640-845d074125d3,Pending,82920.61,42,2002-05-23,1992-01-19,2022-01-10,5,No,Vacuum,Household Items,197.2,High,65.48,44.57
Marshall-Cameron,Saint Barthelemy,Finance,Large,1981-09-20,Product Sales,Offline,USD,2020,3,Asia,Credit Card,1471.9,2019-10-07,Failed,6663ea25-344b-4ecf-871f-64d13bdc1c5c,Rejected,80141.51,29,2012-05-04,2015-09-14,1990-06-05,20,Yes,Camera,Electronics,546.92,Low,86.28,76.32
Taylor Group,Tonga,Healthcare,Medium,2017-10-05,Product Sales,Online,USD,2020,1,Asia,Credit Card,3362.69,2013-04-24,Failed,9c5b9244-771a-4d8a-9ca9-cab2799e8b32,Rejected,40092.73,2,1994-02-10,2020-06-25,1996-03-09,22,No,Headphones,Electronics,506.47,Medium,27.94,98.55
"Hanson, Estrada and Nguyen",Tuvalu,Manufacturing,Small,1983-03-19,Product Sales,Online,USD,2021,1,Africa,Bank Transfer,2638.21,1986-03-14,Pending,6c74e7c2-7c20-480c-9540-f02439eb2330,Approved,76830.66,32,1981-04-04,2024-05-07,1988-06-20,4,Yes,Pants,Clothing,492.67,Low,32.32,92.46
Vasquez Group,Pakistan,Retail,Large,2018-07-21,Subscription,Offline,USD,2022,3,Asia,PayPal,7865.69,1980-02-22,Completed,3cf3eb31-1727-4517-8505-1398ddb57068,Approved,59204.84,41,2014-04-30,1971-06-12,1982-08-17,18,No,Pants,Clothing,492.67,Medium,9.19,92.53
